timestamp,ip,user_agent,path,method,input
2025-03-15 12:41:48,172.31.8.254,ELB-HealthChecker/2.0,api/health-check,GET,
2025-03-15 12:42:48,172.31.8.254,ELB-HealthChecker/2.0,api/health-check,GET,
2025-03-15 12:43:23,51.222.253.12,Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/),company/detail/74/product/detail/601,GET,
2025-03-15 12:51:18,66.249.79.204,"Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.6943.141 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)",product/detail/792,GET,
2025-03-15 12:53:28,40.77.167.28,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36",search,GET,"{""content_type"": ""3"", ""search"": ""lego ninjago png""}"
2025-03-15 12:53:31,172.31.43.200,ELB-HealthChecker/2.0,api/health-check,GET,
2025-03-15 12:53:49,172.31.8.254,ELB-HealthChecker/2.0,api/health-check,GET,
2025-03-15 12:54:34,133.204.129.192,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1",article/detail/102,GET,
2025-03-15 12:55:29,52.167.144.195,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36",search,GET,"{""content_type"": ""3"", ""search"": ""hillsdale bedroom furniture""}"
2025-03-15 12:55:49,172.31.8.254,ELB-HealthChecker/2.0,api/health-check,GET,
2025-03-15 12:59:07,17.241.75.12,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot)",article/detail/219,GET,
2025-03-15 12:59:49,172.31.8.254,ELB-HealthChecker/2.0,api/health-check,GET,
2025-03-15 13:00:29,85.208.96.196,Mozilla/5.0 (compatible; SemrushBot/7~bl; +http://www.semrush.com/bot.html),article/detail/420,GET,
2025-03-15 13:00:32,172.31.43.200,ELB-HealthChecker/2.0,api/health-check,GET,
2025-03-15 13:01:28,88.203.186.24,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36",article,GET,
2025-03-15 13:03:32,172.31.43.200,ELB-HealthChecker/2.0,api/health-check,GET,
2025-03-15 13:06:01,66.249.79.194,"Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.6943.141 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)",product/detail/197,GET,
2025-03-15 13:08:02,40.77.167.155,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36",product/detail/408,GET,
2025-03-15 13:08:49,172.31.8.254,ELB-HealthChecker/2.0,api/health-check,GET,
2025-03-15 13:11:20,217.178.133.15,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 YJApp-IOS jp.co.yahoo.ipn.appli/4.134.0",article/detail/159,GET,
2025-03-15 13:13:49,172.31.8.254,ELB-HealthChecker/2.0,api/health-check,GET,
2025-03-15 13:18:58,66.249.79.193,"Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.6943.141 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)",terms,GET,
2025-03-15 13:19:05,17.241.75.126,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot)",product/detail/758,GET,
2025-03-15 13:19:27,66.249.79.193,"Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.6943.141 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)",company/detail/119,GET,
2025-03-15 13:21:28,85.208.96.207,Mozilla/5.0 (compatible; SemrushBot/7~bl; +http://www.semrush.com/bot.html),company/detail/52/product/detail/490,GET,
